venue,cc4,amount,clock,day
Brew've Been Served,6901,47.74,08:18:00,2014-01-07
Abila Airport,3506,3840.37,09:17:00,2014-01-07
Stewart and Sons Fabrication,3506,1200.9,10:05:00,2014-01-07
Nationwide Refinery,9735,1347.36,10:11:00,2014-01-07
Stewart and Sons Fabrication,9735,1843.33,11:31:00,2014-01-07
Nationwide Refinery,7792,1562.66,11:39:00,2014-01-07
Coffee Shack,7117,16.63,12:00:00,2014-01-07
Bean There Done That,1415,51.25,12:00:00,2014-01-07
Brewed Awakenings,7688,12.17,12:00:00,2014-01-07
Jack's Magical Beans,6899,23.68,12:00:00,2014-01-07
Brewed Awakenings,3853,64.84,12:00:00,2014-01-07
Brewed Awakenings,2540,71.59,12:00:00,2014-01-07
Bean There Done That,1877,53.89,12:00:00,2014-01-07
Brewed Awakenings,8332,6.72,12:00:00,2014-01-07
Bean There Done That,1321,8.03,12:00:00,2014-01-07
Bean There Done That,6895,46.25,12:00:00,2014-01-07
Jack's Magical Beans,9241,18.77,12:00:00,2014-01-07
Jack's Magical Beans,8156,19.61,12:00:00,2014-01-07
Jack's Magical Beans,2463,69.84,12:00:00,2014-01-07
Nationwide Refinery,3506,1071.04,12:02:00,2014-01-07
Abila Airport,8642,124.89,12:29:00,2014-01-07
Katerina's Cafe,7792,59.07,13:08:00,2014-01-07
Guy's Gyros,8156,29.57,13:13:00,2014-01-07
Abila Zacharo,1415,13.52,13:20:00,2014-01-07
Gelatogalore,8332,35.06,13:20:00,2014-01-07
Guy's Gyros,7354,38.56,13:20:00,2014-01-07
Kalami Kafenion,1286,45.05,13:24:00,2014-01-07
Kalami Kafenion,5407,11.64,13:24:00,2014-01-07
Abila Zacharo,6899,82.25,13:25:00,2014-01-07
Ouzeri Elian,2142,29.1,13:29:00,2014-01-07
Gelatogalore,1310,51.64,13:30:00,2014-01-07
Ouzeri Elian,4948,28.37,13:32:00,2014-01-07
Abila Zacharo,7688,52.72,13:33:00,2014-01-07
Gelatogalore,7253,34.04,13:33:00,2014-01-07
Katerina's Cafe,7889,22.27,13:33:00,2014-01-07
Guy's Gyros,6816,11.31,13:33:00,2014-01-07
Kalami Kafenion,4795,18.06,13:33:00,2014-01-07
Ouzeri Elian,6895,64.84,13:34:00,2014-01-07
Gelatogalore,2463,8.98,13:35:00,2014-01-07
Gelatogalore,9551,21.52,13:37:00,2014-01-07
Gelatogalore,9405,17.21,13:39:00,2014-01-07
Katerina's Cafe,3484,51.41,13:41:00,2014-01-07
Abila Zacharo,9683,17.81,13:41:00,2014-01-07
Ouzeri Elian,5368,97.71,13:42:00,2014-01-07
Abila Zacharo,2418,32.4,13:44:00,2014-01-07
Kalami Kafenion,1877,22.83,13:45:00,2014-01-07
Guy's Gyros,9635,10.11,13:46:00,2014-01-07
Kalami Kafenion,7108,22.14,13:46:00,2014-01-07
Gelatogalore,2681,36.5,13:49:00,2014-01-07
Ouzeri Elian,8411,21.85,13:50:00,2014-01-07
Gelatogalore,1874,71.77,13:52:00,2014-01-07
Hippokampos,3853,51.69,13:53:00,2014-01-07
Gelatogalore,5921,88.97,13:54:00,2014-01-07
Abila Zacharo,7819,65.9,13:55:00,2014-01-07
Ouzeri Elian,1321,16.2,13:56:00,2014-01-07
Katerina's Cafe,8202,37.44,13:57:00,2014-01-07
Gelatogalore,6691,15.4,13:57:00,2014-01-07
Hippokampos,3492,76.11,14:00:00,2014-01-07
Katerina's Cafe,4434,10.9,14:07:00,2014-01-07
Guy's Gyros,9617,12.57,14:09:00,2014-01-07
Ouzeri Elian,6901,59.51,14:09:00,2014-01-07
Hippokampos,8129,37.57,14:11:00,2014-01-07
Abila Scrapyard,2276,2149.28,14:16:00,2014-01-07
Kronos Pipe and Irrigation,4530,3920.82,14:19:00,2014-01-07
Carlyle Chemical Inc.,7792,4803.13,14:34:00,2014-01-07
Stewart and Sons Fabrication,2276,962.2,15:03:00,2014-01-07
Maximum Iron and Steel,4530,3207.31,15:20:00,2014-01-07
Abila Airport,8642,3411.29,15:41:00,2014-01-07
Nationwide Refinery,2276,889.58,16:24:00,2014-01-07
Guy's Gyros,7819,14.87,19:45:00,2014-01-07
Guy's Gyros,3484,31.23,19:48:00,2014-01-07
Hippokampos,1877,20.17,20:01:00,2014-01-07
Hippokampos,1415,11.56,20:02:00,2014-01-07
Albert's Fine Clothing,6895,308.36,20:04:00,2014-01-07
Katerina's Cafe,7253,19.49,20:09:00,2014-01-07
Albert's Fine Clothing,7117,78.91,20:10:00,2014-01-07
Guy's Gyros,7384,42.25,20:10:00,2014-01-07
Guy's Gyros,4795,26.82,20:10:00,2014-01-07
Katerina's Cafe,2142,10.07,20:11:00,2014-01-07
Guy's Gyros,9683,76.71,20:11:00,2014-01-07
Katerina's Cafe,1874,55.63,20:12:00,2014-01-07
Katerina's Cafe,7889,94.75,20:13:00,2014-01-07
Katerina's Cafe,8202,65.02,20:13:00,2014-01-07
Guy's Gyros,3853,62.33,20:14:00,2014-01-07
Ouzeri Elian,9241,11.41,20:15:00,2014-01-07
Katerina's Cafe,8411,31.6,20:18:00,2014-01-07
Guy's Gyros,7354,89.76,20:19:00,2014-01-07
Frydos Autosupply n' More,6901,312.73,20:20:00,2014-01-07
Katerina's Cafe,5921,19.53,20:32:00,2014-01-07
Katerina's Cafe,9617,17.26,20:33:00,2014-01-07
Katerina's Cafe,6691,25.54,20:33:00,2014-01-07
Hippokampos,1321,70.19,20:34:00,2014-01-07
Guy's Gyros,5368,23.12,20:34:00,2014-01-07
Katerina's Cafe,3492,32.83,20:47:00,2014-01-07
Ouzeri Elian,2681,20.53,20:49:00,2014-01-07
Hippokampos,8156,32.99,20:51:00,2014-01-07
Katerina's Cafe,9405,33.29,21:01:00,2014-01-07
Hippokampos,2540,21.2,21:03:00,2014-01-07
Hippokampos,2463,37.88,21:17:00,2014-01-07
Katerina's Cafe,1310,18.35,21:19:00,2014-01-07
Hippokampos,7688,35.85,21:21:00,2014-01-07
Hippokampos,8332,22.18,21:51:00,2014-01-07
Brew've Been Served,7354,15.66,07:31:00,2014-01-08
Hallowed Grounds,7108,12.19,07:39:00,2014-01-08
Hallowed Grounds,1874,8.15,07:39:00,2014-01-08
Hallowed Grounds,1310,8.28,07:39:00,2014-01-08
Hallowed Grounds,8129,5.85,07:40:00,2014-01-08
Brew've Been Served,4948,3.09,07:42:00,2014-01-08
Hallowed Grounds,9617,3.4,07:43:00,2014-01-08
Hallowed Grounds,3492,3.11,07:47:00,2014-01-08
Brew've Been Served,3853,32.92,07:48:00,2014-01-08
Brew've Been Served,6816,8.27,07:48:00,2014-01-08
Brew've Been Served,9683,19.17,07:48:00,2014-01-08
Brew've Been Served,9405,33.68,07:50:00,2014-01-08
Hallowed Grounds,2681,3.9,07:50:00,2014-01-08
Coffee Cameleon,7253,6.59,07:51:00,2014-01-08
Coffee Cameleon,5921,12.26,07:52:00,2014-01-08
Hallowed Grounds,7889,79.92,07:55:00,2014-01-08
Brew've Been Served,3484,91.87,07:55:00,2014-01-08
Hallowed Grounds,9551,12.86,07:56:00,2014-01-08
Brew've Been Served,5368,74.88,07:57:00,2014-01-08
Hallowed Grounds,6691,11.63,07:57:00,2014-01-08
Brew've Been Served,5407,8.4,07:58:00,2014-01-08
Coffee Cameleon,2142,15.71,07:59:00,2014-01-08
Brew've Been Served,4795,32.3,08:00:00,2014-01-08
Brew've Been Served,8202,3.92,08:01:00,2014-01-08
Brew've Been Served,7819,17.13,08:01:00,2014-01-08
Brew've Been Served,7384,3.42,08:01:00,2014-01-08
Brew've Been Served,6901,10.15,08:03:00,2014-01-08
Brew've Been Served,8411,11.48,08:09:00,2014-01-08
Brew've Been Served,1286,7.26,08:16:00,2014-01-08
Brew've Been Served,4434,6.3,08:18:00,2014-01-08
Coffee Cameleon,2418,16.17,08:22:00,2014-01-08
Carlyle Chemical Inc.,7792,3048.31,09:43:00,2014-01-08
Nationwide Refinery,9152,4513.16,09:54:00,2014-01-08
Nationwide Refinery,9735,3674.32,10:14:00,2014-01-08
Stewart and Sons Fabrication,9152,1738.26,11:28:00,2014-01-08
Stewart and Sons Fabrication,9735,1673.77,11:58:00,2014-01-08
Coffee Shack,7117,13.13,12:00:00,2014-01-08
Bean There Done That,1415,17.45,12:00:00,2014-01-08
Bean There Done That,9635,12.07,12:00:00,2014-01-08
Brewed Awakenings,7688,11.73,12:00:00,2014-01-08
Jack's Magical Beans,6899,3.96,12:00:00,2014-01-08
Brewed Awakenings,2540,12.32,12:00:00,2014-01-08
Bean There Done That,1877,8.06,12:00:00,2014-01-08
Brewed Awakenings,8332,15.03,12:00:00,2014-01-08
Bean There Done That,1321,94.96,12:00:00,2014-01-08
Jack's Magical Beans,9241,18.78,12:00:00,2014-01-08
Jack's Magical Beans,8156,12.37,12:00:00,2014-01-08
Jack's Magical Beans,2463,31.25,12:00:00,2014-01-08
Frank's Fuel,3853,65.34,12:29:00,2014-01-08
Abila Airport,8642,2723.18,12:45:00,2014-01-08
Chostus Hotel,2540,107.51,12:56:00,2014-01-08
Carlyle Chemical Inc.,4530,4983.52,13:03:00,2014-01-08
Abila Zacharo,5407,22.13,13:10:00,2014-01-08
Hippokampos,8332,26.55,13:12:00,2014-01-08
Hippokampos,4795,9.03,13:15:00,2014-01-08
Katerina's Cafe,7792,29.26,13:19:00,2014-01-08
Chostus Hotel,9683,111.89,13:19:00,2014-01-08
Ouzeri Elian,8156,109.73,13:21:00,2014-01-08
Abila Zacharo,2463,36.85,13:23:00,2014-01-08
Hippokampos,7253,16.59,13:26:00,2014-01-08
Gelatogalore,8411,32.79,13:27:00,2014-01-08
Katerina's Cafe,6899,8.53,13:28:00,2014-01-08
Gelatogalore,9405,20.72,13:28:00,2014-01-08
Kalami Kafenion,5921,24.08,13:29:00,2014-01-08
Hippokampos,1321,37.89,13:31:00,2014-01-08
Guy's Gyros,7384,30.12,13:32:00,2014-01-08
Abila Zacharo,1415,14.41,13:34:00,2014-01-08
Katerina's Cafe,1310,88.98,13:34:00,2014-01-08
Gelatogalore,1286,50.36,13:38:00,2014-01-08
Gelatogalore,3484,119.75,13:39:00,2014-01-08
Guy's Gyros,3853,77.9,13:40:00,2014-01-08
Katerina's Cafe,2142,26.45,13:41:00,2014-01-08
Gelatogalore,7889,35.29,13:42:00,2014-01-08
Kalami Kafenion,8202,22.49,13:42:00,2014-01-08
Katerina's Cafe,6895,57.04,13:42:00,2014-01-08
Hippokampos,9551,39.8,13:43:00,2014-01-08
Kalami Kafenion,7354,31.96,13:44:00,2014-01-08
Kalami Kafenion,3492,23.82,13:45:00,2014-01-08
Abila Zacharo,2681,28.25,13:46:00,2014-01-08
Katerina's Cafe,1877,27.05,13:47:00,2014-01-08
Gelatogalore,2418,22.27,13:47:00,2014-01-08
Ouzeri Elian,5368,104.92,13:47:00,2014-01-08
Hippokampos,9635,28.79,13:48:00,2014-01-08
Gelatogalore,7819,116.72,13:48:00,2014-01-08
Guy's Gyros,1874,15.86,13:51:00,2014-01-08
Abila Zacharo,6901,30.85,13:51:00,2014-01-08
Kalami Kafenion,6816,14.77,13:52:00,2014-01-08
Abila Zacharo,9617,16.2,13:53:00,2014-01-08
Guy's Gyros,4434,10.34,13:57:00,2014-01-08
Katerina's Cafe,7108,22.94,14:06:00,2014-01-08
Kronos Pipe and Irrigation,4530,3615.61,14:09:00,2014-01-08
Kalami Kafenion,7117,34.98,14:15:00,2014-01-08
Gelatogalore,4948,39.94,14:17:00,2014-01-08
Kalami Kafenion,8129,31.43,14:19:00,2014-01-08
Carlyle Chemical Inc.,7792,4901.88,14:26:00,2014-01-08
Maximum Iron and Steel,4530,3136.01,15:18:00,2014-01-08
Abila Airport,8642,2769.12,15:29:00,2014-01-08
Hippokampos,1415,10.52,19:21:00,2014-01-08
Hippokampos,2540,16.54,19:28:00,2014-01-08
Katerina's Cafe,5407,34.25,19:32:00,2014-01-08
Guy's Gyros,7354,15.69,19:36:00,2014-01-08
Guy's Gyros,4434,30.48,19:48:00,2014-01-08
Katerina's Cafe,8411,13.83,20:00:00,2014-01-08
Hippokampos,6895,32.66,20:02:00,2014-01-08
Guy's Gyros,7384,28.81,20:07:00,2014-01-08
Frydos Autosupply n' More,2418,214.07,20:07:00,2014-01-08
Guy's Gyros,5368,33.02,20:08:00,2014-01-08
Katerina's Cafe,1310,31.59,20:08:00,2014-01-08
Ouzeri Elian,1286,62.2,20:12:00,2014-01-08
Guy's Gyros,3484,99.08,20:15:00,2014-01-08
Frydos Autosupply n' More,3853,182.56,20:17:00,2014-01-08
Guy's Gyros,9683,18.24,20:17:00,2014-01-08
Katerina's Cafe,2142,33.31,20:27:00,2014-01-08
Hippokampos,7117,96.75,20:28:00,2014-01-08
Frydos Autosupply n' More,6691,268.89,20:28:00,2014-01-08
Katerina's Cafe,7889,36.6,20:31:00,2014-01-08
Katerina's Cafe,8202,16.93,20:35:00,2014-01-08
Katerina's Cafe,5921,92.83,20:42:00,2014-01-08
Albert's Fine Clothing,9635,136.01,20:45:00,2014-01-08
Hippokampos,8332,15.64,20:49:00,2014-01-08
Hippokampos,7688,26.31,20:53:00,2014-01-08
Guy's Gyros,6901,10.28,20:57:00,2014-01-08
Guy's Gyros,7819,22.91,20:58:00,2014-01-08
General Grocer,7108,265.84,21:00:00,2014-01-08
Katerina's Cafe,4948,28.86,21:02:00,2014-01-08
Katerina's Cafe,1874,27.87,21:09:00,2014-01-08
Ouzeri Elian,9551,30.81,21:16:00,2014-01-08
Ouzeri Elian,6899,29.85,21:17:00,2014-01-08
Hippokampos,2463,78.99,21:32:00,2014-01-08
Coffee Cameleon,7253,12.47,07:35:00,2014-01-09
Brew've Been Served,9683,70.71,07:36:00,2014-01-09
Hallowed Grounds,1310,17.56,07:37:00,2014-01-09
Coffee Cameleon,5921,19.99,07:37:00,2014-01-09
Hallowed Grounds,7108,56.77,07:42:00,2014-01-09
Brew've Been Served,5368,5.43,07:43:00,2014-01-09
Hallowed Grounds,8129,75.24,07:46:00,2014-01-09
Brew've Been Served,4948,4.4,07:46:00,2014-01-09
Brew've Been Served,7384,5.3,07:48:00,2014-01-09
Brew've Been Served,7354,34.85,07:48:00,2014-01-09
Brew've Been Served,4795,5.13,07:48:00,2014-01-09
Hallowed Grounds,9551,34.45,07:50:00,2014-01-09
Hallowed Grounds,7889,19.22,07:51:00,2014-01-09
Brew've Been Served,8202,98.25,07:56:00,2014-01-09
Hallowed Grounds,9617,18.48,07:57:00,2014-01-09
Brew've Been Served,8411,5.26,07:57:00,2014-01-09
Hallowed Grounds,9405,50.25,07:57:00,2014-01-09
Brew've Been Served,6901,19.47,07:58:00,2014-01-09
Brew've Been Served,7819,6.61,08:00:00,2014-01-09
Brew've Been Served,4434,6.21,08:00:00,2014-01-09
Brew've Been Served,3484,92.12,08:01:00,2014-01-09
Coffee Cameleon,2142,16.13,08:03:00,2014-01-09
Hallowed Grounds,3492,65.68,08:07:00,2014-01-09
Brew've Been Served,1286,17.64,08:14:00,2014-01-09
Brew've Been Served,5407,5.57,08:15:00,2014-01-09
Hallowed Grounds,2681,15.33,08:15:00,2014-01-09
Abila Airport,3506,2358.22,09:26:00,2014-01-09
Carlyle Chemical Inc.,7792,529.47,09:54:00,2014-01-09
Nationwide Refinery,9735,674.28,10:16:00,2014-01-09
Stewart and Sons Fabrication,3506,1015.65,10:38:00,2014-01-09
Carlyle Chemical Inc.,4530,732.82,11:21:00,2014-01-09
Nationwide Refinery,7792,289.3,11:34:00,2014-01-09
Stewart and Sons Fabrication,9735,3544.0,11:37:00,2014-01-09
Coffee Shack,7117,5.01,12:00:00,2014-01-09
Bean There Done That,1415,13.0,12:00:00,2014-01-09
Brewed Awakenings,7688,11.76,12:00:00,2014-01-09
Jack's Magical Beans,6899,10.11,12:00:00,2014-01-09
Jack's Magical Beans,3853,6.0,12:00:00,2014-01-09
Brewed Awakenings,2540,13.16,12:00:00,2014-01-09
Bean There Done That,1877,4.06,12:00:00,2014-01-09
Brewed Awakenings,8332,17.66,12:00:00,2014-01-09
Bean There Done That,1321,15.53,12:00:00,2014-01-09
Jack's Magical Beans,9241,12.13,12:00:00,2014-01-09
Jack's Magical Beans,8156,15.55,12:00:00,2014-01-09
Jack's Magical Beans,2463,37.43,12:00:00,2014-01-09
Abila Airport,8642,202.93,12:13:00,2014-01-09
Nationwide Refinery,3506,1440.39,12:49:00,2014-01-09
Ouzeri Elian,8332,31.03,12:59:00,2014-01-09
Katerina's Cafe,7253,17.02,13:03:00,2014-01-09
Gelatogalore,5407,19.2,13:12:00,2014-01-09
Abila Airport,2276,4792.5,13:18:00,2014-01-09
Ouzeri Elian,7688,26.09,13:21:00,2014-01-09
Gelatogalore,4795,23.45,13:21:00,2014-01-09
Guy's Gyros,7354,105.4,13:21:00,2014-01-09
Gelatogalore,6899,8.6,13:23:00,2014-01-09
Gelatogalore,2540,56.74,13:23:00,2014-01-09
Ouzeri Elian,6816,22.4,13:23:00,2014-01-09
Katerina's Cafe,7792,16.98,13:23:00,2014-01-09
Abila Zacharo,3484,8.16,13:24:00,2014-01-09
Kalami Kafenion,6895,110.76,13:27:00,2014-01-09
Katerina's Cafe,8156,25.85,13:27:00,2014-01-09
Guy's Gyros,7889,13.59,13:28:00,2014-01-09
Hippokampos,2418,27.47,13:29:00,2014-01-09
Abila Zacharo,2463,8.6,13:32:00,2014-01-09
Katerina's Cafe,3853,10.42,13:35:00,2014-01-09
Gelatogalore,8411,23.23,13:35:00,2014-01-09
Hippokampos,9683,27.93,13:36:00,2014-01-09
Hippokampos,1321,9.12,13:37:00,2014-01-09
Kalami Kafenion,7384,18.14,13:38:00,2014-01-09
Abila Zacharo,1874,20.73,13:40:00,2014-01-09
Gelatogalore,9405,11.94,13:40:00,2014-01-09
Abila Zacharo,9551,89.41,13:41:00,2014-01-09
Hippokampos,9635,8.43,13:41:00,2014-01-09
Hippokampos,5368,39.22,13:41:00,2014-01-09
Guy's Gyros,1415,74.91,13:43:00,2014-01-09
Guy's Gyros,9617,15.0,13:44:00,2014-01-09
Gelatogalore,2681,24.68,13:45:00,2014-01-09
Abila Zacharo,1286,48.39,13:47:00,2014-01-09
Hippokampos,1310,13.84,13:51:00,2014-01-09
Hippokampos,2142,16.65,13:53:00,2014-01-09
Kalami Kafenion,4948,19.84,13:56:00,2014-01-09
Hippokampos,4434,65.7,13:56:00,2014-01-09
Guy's Gyros,6901,8.87,13:56:00,2014-01-09
Kalami Kafenion,6691,35.99,14:03:00,2014-01-09
Kalami Kafenion,8129,10.94,14:04:00,2014-01-09
Ouzeri Elian,7108,32.89,14:04:00,2014-01-09
